RA_Decl,RA,Decl,Box_Offs_Rel_SUBJ_Cntr,Box_Obsv_Done,Search_Box_Center_DECaLS_DR8_URL,DECaLS_DR8_URL,Category,Observation_Included_In_Corresponding_PNG,Category_Descrption,Working Notes,GALEX_Highest_Color__Violet_White_Blue_Green_Yellow_grAy_browN__At-DECaLS-Contrast-0.9_DECaLS-Brightness-3-upward,DR8_Core_Color,DR8_Periphery_Color,DR_8_Resids_Features,DR_8_Resids_Core_Heatmap_Colors,DR_8_Resids_Outer_Mode_Heatmap_Colors,NED_Search_URL,Separator,NED_Nearest_Obj_ID,NED Redshift,NED_Search_Mag,Search_Box_Addr,matplotlib_color,Search_Box_Center_RA_Decl
"218.5994, -2.3847",218.5994,-2.3847,"(-2, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.5994&dec=-2.3847&layer=dr8&zoom=15,RadialGradient,Y,Has UV per GALEX.  Round core; radially decreasing density past core with some irregularity.  Structure present in Residuals.  ,,Y,Orange,Orange,Dot,Red,Black,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.5994d%20-2.3847d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 8)",,"(218.6148, -2.381)"
"218.6001, -2.3765",218.6001,-2.3765,"(-2, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6001&dec=-2.3765&layer=dr8&zoom=15,CoredOval,Y,,,G,Pink,Green,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6001d%20-2.3765d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 8)",,"(218.6148, -2.381)"
"218.6021, -2.3809",218.6021,-2.3809,"(-2, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6021&dec=-2.3809&layer=dr8&zoom=15,Irregular Gradient,Y,Has UV per GALEX.  Iound core; irregularly radially decreasing density past core.  Residuals present.  ,,B,Blue,Blue,Black Area,Black,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6021d%20-2.3809d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 8)",,"(218.6148, -2.381)"
"218.6022, -2.3885",218.6022,-2.3885,"(-2, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6022&dec=-2.3885&layer=dr8&zoom=15,Speck,Y,"Has UV per GALEX.  Dim, Irregular outline, <= 2 arcsec max visual dia",,B,Beige,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6022d%20-2.3885d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 8)",,"(218.6148, -2.381)"
"218.6073, -2.3924",218.6073,-2.3924,"(-2, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6073&dec=-2.3924&layer=dr8&zoom=15,RadialGradient,Y,,,G,Beige,Green,Black Areas,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6073d%20-2.3924d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 8)",,"(218.6148, -2.381)"
"218.6128, -2.3767",218.6128,-2.3767,"(-2, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6128&dec=-2.3767&layer=dr8&zoom=15,Speck,Y,,,B,Blue,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6128d%20-2.3767d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 8)",,"(218.6148, -2.381)"
"218.6287, -2.3926",218.6287,-2.3926,"(-2, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6287&dec=-2.3926&layer=dr8&zoom=15,Spot,Y,"Has UV per GALEX.  Round outline, <= 2 arcsec dia, may have radial density gradient.",,G,Gray,,Black Areas,Black,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6287d%20-2.3926d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 8)",,"(218.6148, -2.381)"
"218.6296, -2.4134",218.6296,-2.4134,"(-2, 1)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.4127&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6296&dec=-2.4134&layer=dr8&zoom=15,Splat,Y,,,Y,Blue,Purple,Double Bar,Purple,Violet-Green,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6296d%20-2.4134d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 7)",,"(218.6148, -2.4127)"
"218.598600 , -2.450800",218.5986,-2.4508,"(-2, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.5986&dec=-2.4508&layer=dr8&zoom=15,Splat,Y,,,W,Purple,Purple,Small Match,Black,Foreground,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.5986d%20-2.4508d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,SDSS J143423.65-022702.6,,21.2g,"(5, 6)",,"(218.6148, -2.4444)"
"218.6073, -2.4474",218.6073,-2.4474,"(-2, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6148&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6073&dec=-2.4474&layer=dr8&zoom=15,Speck,Y,,,A,Blue,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6073d%20-2.4474d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(5, 6)",,"(218.6148, -2.4444)"
